sample,signal_a_time,signal_b_time,delay_ns
0,0.09934283060224654,0.5993428306022466,0.5
1,3.172667171768963,3.672667171768963,0.5
2,6.530177771626539,7.030177771626539,0.5
3,9.905566067291206,10.405566067291206,0.5
4,12.754449453068133,13.254449453068133,0.5
5,15.954772768626164,16.454772768626164,0.5
6,19.51776275512068,20.01776275512068,0.5
7,22.555727169852982,23.055727169852982,0.5
8,25.50866537883861,26.00866537883861,0.5
9,28.911392296745994,29.411392296745994,0.5
10,31.910516781469507,32.41051678146951,0.5000000000000036
11,35.110374401321145,35.610374401321145,0.5
12,38.45223283835161,38.95223283835161,0.5
13,41.22150436711004,41.72150436711004,0.5
14,44.459496881542194,44.959496881542194,0.5
15,47.892342974199806,48.392342974199806,0.5
16,51.00255428798432,51.50255428798432,0.5
17,54.468290010573455,54.968290010573455,0.5
18,57.42415576095336,57.92415576095336,0.5
19,60.52361986779375,61.02361986779375,0.5
20,64.29953039384831,64.79953039384831,0.5
21,67.1615654119699,67.6615654119699,0.5
22,70.42054634500798,70.92054634500798,0.5
23,73.32241109883091,73.82241109883091,0.5
24,76.69880422317178,77.19880422317178,0.5
25,80.03018531802198,80.53018531802198,0.5
26,82.97812211659874,83.47812211659874,0.5
27,86.48378046775554,86.98378046775554,0.5
28,89.48883315810583,89.98883315810583,0.5
29,92.75094217813415,93.25094217813415,0.5
30,95.88925963765013,96.38925963765013,0.5
31,99.58037662900098,100.08037662900098,0.5
32,102.40754157915482,102.90754157915482,0.5
33,105.39901887031444,105.89901887031444,0.5
34,108.97539007052944,109.47539007052944,0.5
35,111.7670323901178,112.2670323901178,0.5
36,115.25329387111616,115.75329387111616,0.5
37,118.01990715934245,118.51990715934245,0.5
38,121.34652400634192,121.84652400634192,0.5
39,124.85185349529864,125.35185349529864,0.5
40,128.16049459612708,128.66049459612708,0.5
41,131.24739496836918,131.74739496836918,0.5
42,134.39031168765678,134.89031168765678,0.5
43,137.55354063701975,138.05354063701975,0.5
44,140.5183770100673,141.0183770100673,0.5
45,143.87043259846507,144.37043259846507,0.5
46,147.12259371795525,147.62259371795525,0.5
47,150.62646594939417,151.12646594939417,0.5
